Years,Total,Manufacturing, Services,Wholesale And Retail Trade,Transportation And Storage,Accommodation And Food Services,Information And Communications,Financial And Insurance Services,Real Estate Services,Professional Services,Administrative And Support Services,"Community, Social And Personal Services",Others,"Professionals, Managers, Executives & Technicians","Clerical, Sales & Service Workers","Production & Transport Operators, Cleaners & Labourers"
2021,2.1,1.8,2.2,2.2,1.7,3.4,2.8,1.8,2.3,2.3,3.6,1.4,1.6,1.7,2.9,2.2
2020,1.6,1.1,1.8,1.8,1.1,3.2,2.2,1.3,1.8,1.6,3.3,1.2,1.1,1.3,2.4,1.6
2019,2.2,1.7,2.4,2.2,1.7,4,2.4,1.8,3.2,2.2,4.3,1.5,1.6,1.7,3.2,2.5
2018,2.3,1.9,2.4,2.4,1.8,3.7,2.3,2.1,3.3,2.5,4.5,1.5,1.8,1.7,3.2,2.5
2017,2.1,1.8,2.3,2.4,1.7,3.7,2,1.8,3.4,2,4.6,1.3,1.4,1.5,3.1,2.4
2016,2.2,1.6,2.4,2.5,1.8,3.9,2.2,1.9,3.5,2.3,4.4,1.4,1.3,1.6,3.1,2.5
2015,2.4,1.6,2.6,2.7,2,4.5,2.6,2,3.5,2.2,4.7,1.6,1.6,1.8,3.5,2.6
2014,2.6,1.8,2.8,3.1,2.1,4.7,3,2.2,3.8,2.3,5.2,1.6,2.1,1.9,3.8,2.9
2013,2.7,1.9,2.8,3.5,2.3,4.6,2.7,2.1,3.6,2.5,4.8,1.6,2.2,1.9,3.8,3.1
2012,2.8,1.9,2.9,3.4,2.3,4.6,2.8,1.9,4.1,2.9,4.6,1.8,2.4,1.9,3.7,3.1
2011,2.7,2,3,3.2,2.4,4.9,3,2.4,4.1,2.8,4.9,1.9,2.1,2.1,3.8,2.8
2010,2.8,2,3.2,3.6,2.3,4.7,3.2,2.7,3.9,2.7,4.8,2.3,2,2.2,4,2.7
2009,2.2,1.5,2.5,2.7,1.4,3.8,2,1.6,3.6,2.3,4.3,2,2.3,1.6,3.1,2.3
2008,2.8,2,3,3.3,2.5,4.6,2.9,2.4,3.8,3.4,4.6,2,3,2.2,3.7,2.9
2007,2.9,2.3,3.2,3.5,2.4,5.1,3,3.1,4,3.6,4.9,1.8,3,2.3,3.7,3.1
2006,2.8,2.4,3,3.3,2,5.1,3.1,2.7,4.5,3.5,4.9,1.6,1.7,2.2,3.6,2.9
2005,2.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2004,2.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2003,2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2002,2.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2001,2.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2000,3.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1999,2.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1998,2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1997,3.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1996,3.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1995,3.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1994,3.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1993,3.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1992,3.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1991,3.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1990,4.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
